iter	Logloss
0	0.6854413607
1	0.6785872353
2	0.6710247516
3	0.6636505673
4	0.6577822823
5	0.6516978876
6	0.6463996553
7	0.640494861
8	0.6341934416
9	0.6281551526
10	0.6229142903
11	0.6164778441
12	0.6114406563
13	0.6048122107
14	0.599818877
15	0.5935899452
16	0.5884099264
17	0.5827400928
18	0.5785405164
19	0.5729722766
20	0.5688397397
21	0.5637447421
22	0.5586551532
23	0.5544509364
24	0.549987653
25	0.5460297931
26	0.5421776296
27	0.5382328528
28	0.533860213
29	0.5296744706
30	0.5257679044
31	0.5221008743
32	0.5188360827
33	0.5158346823
34	0.5126654279
35	0.509161053
36	0.5063163957
37	0.5026618625
38	0.4988392393
39	0.4950484426
40	0.4922907345
41	0.4892792362
42	0.4863643131
43	0.4841008743
44	0.4806748187
45	0.4778875801
46	0.4745624137
47	0.471721568
48	0.4690953215
49	0.4654141312
50	0.4631303928
51	0.4604490766
52	0.4579154965
53	0.4552569532
54	0.4524995752
55	0.450473029
56	0.4479232495
57	0.4449278856
58	0.4430334074
59	0.4404485316
60	0.4379945801
61	0.434979087
62	0.4322892457
63	0.4296566216
64	0.427489554
65	0.4252644956
66	0.4233988383
67	0.4214052854
68	0.4192126351
69	0.417360454
70	0.4154202098
71	0.4132005582
72	0.4111330967
73	0.4091866203
74	0.4065913249
75	0.4050866343
76	0.403217046
77	0.4020691124
78	0.4001652964
79	0.3985647985
80	0.3969372985
81	0.3958187747
82	0.3943147011
83	0.39216175
84	0.3908427785
85	0.388581227
86	0.3871751532
87	0.3858758514
88	0.3847880642
89	0.3836993865
90	0.3816860682
91	0.3801088501
92	0.3786493309
93	0.3771463445
94	0.3757517611
95	0.3744371182
96	0.3727375381
97	0.3718075056
98	0.3707233249
99	0.3693372752
100	0.3681448403
101	0.3668735398
102	0.3656329704
103	0.3639845753
104	0.3630664629
105	0.3620258038
106	0.3609114208
107	0.3595192205
108	0.3581516105
109	0.356715073
110	0.355408139
111	0.3537935759
112	0.3525639367
113	0.3515725238
114	0.3504487633
115	0.3492395179
116	0.3483944783
117	0.3475293246
118	0.3464281693
119	0.3455918707
120	0.3443351045
121	0.3432654426
122	0.3423252135
123	0.3411251361
124	0.3403106466
125	0.3393791206
126	0.3382065271
127	0.337028285
128	0.336142897
129	0.3350197095
130	0.3340060247
131	0.333060459
132	0.3322765784
133	0.331742311
134	0.3304160326
135	0.3296604253
136	0.328623341
137	0.3277712487
138	0.3268994031
139	0.3259310921
140	0.3251320948
141	0.3242268935
142	0.3236176316
143	0.322830655
144	0.322285893
145	0.3218626413
146	0.3210387569
147	0.3205581057
148	0.3199060441
149	0.3190981187
150	0.3183607297
151	0.3173911622
152	0.3165195418
153	0.3157857492
154	0.3153099593
155	0.3145996517
156	0.3138631283
157	0.3130131815
158	0.3124140997
159	0.3116736325
160	0.3111351634
161	0.3104793079
162	0.3095490273
163	0.3089538745
164	0.3083804904
165	0.3075361781
166	0.3068666387
167	0.3061610562
